Payment_Type,Total_Transactions,Total_Amount,Quarter,Year,State
Peer-to-peer payments,422056582,1.58001E+12,2,2022,telangana
Recharge & bill payments,75099130,63136761649,2,2022,telangana
Financial Services,245023,324857780.6,2,2022,telangana
Others,611316,470432687.4,2,2022,telangana
Merchant payments,880414292,4.47151E+11,3,2022,telangana
Peer-to-peer payments,626830752,2.17017E+12,3,2022,telangana
Recharge & bill payments,119779835,87937210666,3,2022,telangana
Financial Services,340458,442783619.1,3,2022,telangana
Others,800064,621900924.4,3,2022,telangana
Merchant payments,1002521735,4.91556E+11,4,2022,telangana
Peer-to-peer payments,694612831,2.39338E+12,4,2022,telangana
Recharge & bill payments,121188131,92136759501,4,2022,telangana
Financial Services,401838,498719426,4,2022,telangana
Others,782297,680680558.3,4,2022,telangana
Recharge & bill payments,86819,14079439.57,1,2018,tripura
Peer-to-peer payments,44844,112229995,1,2018,tripura
Financial Services,4842,672247.5882,1,2018,tripura
Merchant payments,4833,6080959.883,1,2018,tripura
Others,6819,4916272.513,1,2018,tripura
Recharge & bill payments,118171,22554398.15,2,2018,tripura
Peer-to-peer payments,73821,197666881.9,2,2018,tripura
Merchant payments,9621,10570951.15,2,2018,tripura
Financial Services,6925,1264101.905,2,2018,tripura
Others,6021,4835385.634,2,2018,tripura
Peer-to-peer payments,186065,398867427.3,3,2018,tripura
Recharge & bill payments,156308,33484811.21,3,2018,tripura
Merchant payments,21476,16092396.41,3,2018,tripura
Financial Services,8106,1080000.011,3,2018,tripura
Others,5748,4338753.081,3,2018,tripura
Recharge & bill payments,204720,38334816.66,4,2018,tripura
Peer-to-peer payments,179739,549068822.4,4,2018,tripura
Merchant payments,50888,31066467.63,4,2018,tripura
Financial Services,6441,1023126.821,4,2018,tripura
Others,6271,5392365.974,4,2018,tripura
Peer-to-peer payments,296993,679165332.8,1,2019,tripura
Recharge & bill payments,227997,44429378.42,1,2019,tripura
Merchant payments,46642,28109966.32,1,2019,tripura
Financial Services,4189,461473.5886,1,2019,tripura
Others,5105,4728790.472,1,2019,tripura
Peer-to-peer payments,240776,751113516.2,2,2019,tripura
Recharge & bill payments,218649,48989430.61,2,2019,tripura
Merchant payments,64829,35275706.83,2,2019,tripura
Financial Services,1899,339184.3345,2,2019,tripura
Others,6405,6103644.851,2,2019,tripura
Recharge & bill payments,339539,81845425.35,3,2019,tripura
Peer-to-peer payments,270163,884623553.9,3,2019,tripura
Merchant payments,68399,44802063.64,3,2019,tripura
Financial Services,27970,582020.9903,3,2019,tripura
Others,5646,5524358.927,3,2019,tripura
Recharge & bill payments,373779,88001651.29,4,2019,tripura
Peer-to-peer payments,359076,1071507586,4,2019,tripura
Merchant payments,62458,51274033.72,4,2019,tripura
Financial Services,2239,377097.6671,4,2019,tripura
Others,4272,4239791.585,4,2019,tripura
Recharge & bill payments,449584,114355218,1,2020,tripura
Peer-to-peer payments,366218,1400694934,1,2020,tripura
Merchant payments,102861,68590603.64,1,2020,tripura
Financial Services,1722,1066651.522,1,2020,tripura
Others,4117,4071399.624,1,2020,tripura
Recharge & bill payments,600206,163220166.8,2,2020,tripura
Peer-to-peer payments,346863,1501452756,2,2020,tripura
Merchant payments,97816,99795973.61,2,2020,tripura
Financial Services,2904,2247782.522,2,2020,tripura
Others,4731,2459205.001,2,2020,tripura
Recharge & bill payments,627363,185201997.3,3,2020,tripura
Peer-to-peer payments,477769,1959371083,3,2020,tripura
Merchant payments,202106,190218136.3,3,2020,tripura
Financial Services,3828,3141391.576,3,2020,tripura
Others,6819,3886908.163,3,2020,tripura
Peer-to-peer payments,650386,2683789890,4,2020,tripura
Recharge & bill payments,631611,192385823.4,4,2020,tripura
Merchant payments,357567,296872485.4,4,2020,tripura
Financial Services,4084,3666639.309,4,2020,tripura
Others,8242,5416158.233,4,2020,tripura
Peer-to-peer payments,643366,2821226151,1,2021,tripura
Recharge & bill payments,508718,173211140.9,1,2021,tripura
Merchant payments,350366,333743281.3,1,2021,tripura
Financial Services,3146,2879929.223,1,2021,tripura
Others,5827,4281067.764,1,2021,tripura
Peer-to-peer payments,703728,2865655130,2,2021,tripura
Recharge & bill payments,589839,189808502.9,2,2021,tripura
Merchant payments,440060,404915546.5,2,2021,tripura
Financial Services,3656,3503925.338,2,2021,tripura
Others,7146,4271255.844,2,2021,tripura
Peer-to-peer payments,864329,3491901741,3,2021,tripura
Recharge & bill payments,620991,215226019.6,3,2021,tripura
Merchant payments,584079,648504775.6,3,2021,tripura
Financial Services,2886,3473153.088,3,2021,tripura
Others,8915,5028078.735,3,2021,tripura
Peer-to-peer payments,1060915,4368786747,4,2021,tripura
Merchant payments,793636,874005407.7,4,2021,tripura
Recharge & bill payments,650251,241225282.1,4,2021,tripura
Financial Services,3635,5073898.608,4,2021,tripura
Others,12256,7838128.8,4,2021,tripura
Peer-to-peer payments,1221863,4934712034,1,2022,tripura
Merchant payments,992891,1037265263,1,2022,tripura
Recharge & bill payments,641170,262348231,1,2022,tripura
Financial Services,4351,5782533.242,1,2022,tripura
Others,10915,7221703.09,1,2022,tripura
Peer-to-peer payments,1443647,5354182194,2,2022,tripura
Merchant payments,1322009,1235804020,2,2022,tripura
Recharge & bill payments,638643,278018856.2,2,2022,tripura
Financial Services,3812,4533635.769,2,2022,tripura
Others,10553,5732336.736,2,2022,tripura
Peer-to-peer payments,1836678,6718925839,3,2022,tripura
Merchant payments,1660497,1589078400,3,2022,tripura
Recharge & bill payments,745382,329401812.4,3,2022,tripura
Financial Services,4343,5330626.12,3,2022,tripura
Others,9679,5616127.068,3,2022,tripura
Peer-to-peer payments,2252390,8142233538,4,2022,tripura
Merchant payments,2054988,1925282619,4,2022,tripura
Recharge & bill payments,874800,373875271.2,4,2022,tripura
Financial Services,5787,5028488.555,4,2022,tripura
Others,10225,6551901.176,4,2022,tripura
Recharge & bill payments,7003704,1201827544,1,2018,uttar-pradesh
Peer-to-peer payments,4123625,11786969149,1,2018,uttar-pradesh
Merchant payments,442436,428301434.3,1,2018,uttar-pradesh
Financial Services,397328,75150444.99,1,2018,uttar-pradesh
Others,570712,447722351.3,1,2018,uttar-pradesh
Recharge & bill payments,9232131,2044535461,2,2018,uttar-pradesh
Peer-to-peer payments,6484369,22197440016,2,2018,uttar-pradesh
Merchant payments,909545,799920463.3,2,2018,uttar-pradesh
Financial Services,563213,105536911.8,2,2018,uttar-pradesh
Others,521685,572768843.2,2,2018,uttar-pradesh
Peer-to-peer payments,13828768,32944051607,3,2018,uttar-pradesh
Recharge & bill payments,9140873,2485029063,3,2018,uttar-pradesh
Merchant payments,2397448,1012726185,3,2018,uttar-pradesh
Financial Services,603303,76605144.66,3,2018,uttar-pradesh
Others,544964,493702369.6,3,2018,uttar-pradesh
Peer-to-peer payments,15804910,48836291124,4,2018,uttar-pradesh
Recharge & bill payments,11976808,3040717447,4,2018,uttar-pradesh
Merchant payments,6953857,2480267671,4,2018,uttar-pradesh
Financial Services,517619,76250539.86,4,2018,uttar-pradesh
Others,847573,663216794.2,4,2018,uttar-pradesh
Peer-to-peer payments,32062452,68506766330,1,2019,uttar-pradesh
Recharge & bill payments,15400713,4231102033,1,2019,uttar-pradesh
Merchant payments,8558766,3105904146,1,2019,uttar-pradesh
Financial Services,389733,43341558.49,1,2019,uttar-pradesh
Others,912840,637066065.9,1,2019,uttar-pradesh
Peer-to-peer payments,27105049,87581482659,2,2019,uttar-pradesh
Recharge & bill payments,17551537,5627886176,2,2019,uttar-pradesh
Merchant payments,12733089,4894223107,2,2019,uttar-pradesh
Financial Services,264091,38169259.95,2,2019,uttar-pradesh
Others,1229734,775758168.4,2,2019,uttar-pradesh
Peer-to-peer payments,26990786,95134023864,3,2019,uttar-pradesh
Recharge & bill payments,20359672,8000160943,3,2019,uttar-pradesh
Merchant payments,19625935,7399443975,3,2019,uttar-pradesh
Financial Services,258548,51363215.15,3,2019,uttar-pradesh
Others,1389018,683145478.1,3,2019,uttar-pradesh
Peer-to-peer payments,40540310,1.26565E+11,4,2019,uttar-pradesh
Recharge & bill payments,24299776,9082140370,4,2019,uttar-pradesh
Merchant payments,20582052,9412924985,4,2019,uttar-pradesh
Financial Services,242936,45686806.83,4,2019,uttar-pradesh
Others,1239931,433285937.6,4,2019,uttar-pradesh
Peer-to-peer payments,39581157,1.47735E+11,1,2020,uttar-pradesh
Recharge & bill payments,29777603,11168417431,1,2020,uttar-pradesh
Merchant payments,26741638,13072371617,1,2020,uttar-pradesh
Financial Services,139990,64365117.41,1,2020,uttar-pradesh
Others,998744,376573949.2,1,2020,uttar-pradesh
Recharge & bill payments,42229417,14668026056,2,2020,uttar-pradesh
Peer-to-peer payments,39434202,1.5008E+11,2,2020,uttar-pradesh
Merchant payments,18625913,13655151083,2,2020,uttar-pradesh
Financial Services,150360,131930242.9,2,2020,uttar-pradesh
Others,412073,209384339.6,2,2020,uttar-pradesh
Peer-to-peer payments,54449911,2.07531E+11,3,2020,uttar-pradesh
Recharge & bill payments,37465163,16437365641,3,2020,uttar-pradesh
Merchant payments,34697942,24224433241,3,2020,uttar-pradesh
Financial Services,206210,194129227.5,3,2020,uttar-pradesh
Others,586033,303114557.1,3,2020,uttar-pradesh
Peer-to-peer payments,75433782,2.94401E+11,4,2020,uttar-pradesh
Merchant payments,61922138,44438824681,4,2020,uttar-pradesh
Recharge & bill payments,39570153,17793973969,4,2020,uttar-pradesh
Financial Services,246868,255803306.1,4,2020,uttar-pradesh
Others,994576,539071475.9,4,2020,uttar-pradesh
Peer-to-peer payments,85539321,3.2161E+11,1,2021,uttar-pradesh
Merchant payments,78873969,55362244381,1,2021,uttar-pradesh
Recharge & bill payments,38981894,18563189222,1,2021,uttar-pradesh
Financial Services,250656,266104783.7,1,2021,uttar-pradesh
Others,853707,486435811.4,1,2021,uttar-pradesh
Peer-to-peer payments,102927942,3.88762E+11,2,2021,uttar-pradesh
Merchant payments,84860582,70351401160,2,2021,uttar-pradesh
Recharge & bill payments,53030710,22266927129,2,2021,uttar-pradesh
Financial Services,270944,266853066.8,2,2021,uttar-pradesh
Others,858953,525487682.6,2,2021,uttar-pradesh
Peer-to-peer payments,127945827,4.40727E+11,3,2021,uttar-pradesh
Merchant payments,126699830,91089049637,3,2021,uttar-pradesh
Recharge & bill payments,50414232,24348150110,3,2021,uttar-pradesh
Financial Services,253418,292009129,3,2021,uttar-pradesh
Others,1230077,624716522.1,3,2021,uttar-pradesh
Merchant payments,183966052,1.42889E+11,4,2021,uttar-pradesh
Peer-to-peer payments,167503176,6.00974E+11,4,2021,uttar-pradesh
Recharge & bill payments,52863531,28812549098,4,2021,uttar-pradesh
Financial Services,353219,386356976.5,4,2021,uttar-pradesh
Others,1471954,829152405.3,4,2021,uttar-pradesh
Merchant payments,221556930,1.65544E+11,1,2022,uttar-pradesh
Peer-to-peer payments,195592648,6.84759E+11,1,2022,uttar-pradesh
Recharge & bill payments,54873261,31683813998,1,2022,uttar-pradesh
Financial Services,358499,386218170.6,1,2022,uttar-pradesh
Others,1571908,750327356.1,1,2022,uttar-pradesh
Merchant payments,298721048,2.16176E+11,2,2022,uttar-pradesh
Peer-to-peer payments,232444860,8.12579E+11,2,2022,uttar-pradesh
Recharge & bill payments,62659780,37867966759,2,2022,uttar-pradesh
Financial Services,268349,285646084.3,2,2022,uttar-pradesh
Others,1204739,606123265.1,2,2022,uttar-pradesh
Merchant payments,361972506,2.32006E+11,3,2022,uttar-pradesh
Peer-to-peer payments,267205027,8.44564E+11,3,2022,uttar-pradesh
Recharge & bill payments,72984811,43854148173,3,2022,uttar-pradesh
Financial Services,367887,344330142.1,3,2022,uttar-pradesh
Others,1058841,601411350.4,3,2022,uttar-pradesh
Merchant payments,439247166,2.96782E+11,4,2022,uttar-pradesh
Peer-to-peer payments,317613698,1.03035E+12,4,2022,uttar-pradesh
Recharge & bill payments,78025017,48159073835,4,2022,uttar-pradesh
Financial Services,418329,430212917.3,4,2022,uttar-pradesh
Others,1064861,661985014.8,4,2022,uttar-pradesh
Recharge & bill payments,730428,124377517.3,1,2018,uttarakhand
Peer-to-peer payments,399545,1296603346,1,2018,uttarakhand
Merchant payments,35382,39372913.1,1,2018,uttarakhand
Financial Services,27761,5637758.556,1,2018,uttarakhand
Others,53569,42553823.19,1,2018,uttarakhand
Recharge & bill payments,946332,193802092.8,2,2018,uttarakhand
Peer-to-peer payments,620490,2358941865,2,2018,uttarakhand
Merchant payments,60494,66946005.76,2,2018,uttarakhand
Financial Services,29919,7913276.779,2,2018,uttarakhand
Others,46887,52152138.42,2,2018,uttarakhand
Peer-to-peer payments,1049725,3356030295,3,2018,uttarakhand
Recharge & bill payments,1004356,239244556.8,3,2018,uttarakhand
Merchant payments,112342,84447374.87,3,2018,uttarakhand
Financial Services,22792,4334709.91,3,2018,uttarakhand
Others,39917,42516103.39,3,2018,uttarakhand
Peer-to-peer payments,1556731,5072621132,4,2018,uttarakhand
Recharge & bill payments,1252124,292877734.3,4,2018,uttarakhand
Merchant payments,289733,228453045.9,4,2018,uttarakhand
Financial Services,29916,6035161.099,4,2018,uttarakhand
Others,50257,54285064.33,4,2018,uttarakhand
Peer-to-peer payments,3499130,6512361464,1,2019,uttarakhand
Recharge & bill payments,1590269,394631055.7,1,2019,uttarakhand
Merchant payments,372290,226281078.8,1,2019,uttarakhand
Financial Services,28784,3951610.305,1,2019,uttarakhand
Others,55528,46303966.01,1,2019,uttarakhand
Peer-to-peer payments,2383662,7752954671,2,2019,uttarakhand
Recharge & bill payments,1616176,454962951.9,2,2019,uttarakhand
Merchant payments,721858,323876953.4,2,2019,uttarakhand
Financial Services,21852,2550386.477,2,2019,uttarakhand
Others,69727,54187888.54,2,2019,uttarakhand
Peer-to-peer payments,2313544,8512622076,3,2019,uttarakhand
Recharge & bill payments,2201606,683772297,3,2019,uttarakhand
Merchant payments,1121052,480794827.1,3,2019,uttarakhand
Financial Services,12119,4570326.192,3,2019,uttarakhand
Others,62155,47272543.29,3,2019,uttarakhand
Peer-to-peer payments,3210116,11020339547,4,2019,uttarakhand
Recharge & bill payments,2547173,817728111.5,4,2019,uttarakhand
Merchant payments,1542944,701746516.9,4,2019,uttarakhand
Financial Services,11585,3555524.377,4,2019,uttarakhand
Others,50298,30336605.84,4,2019,uttarakhand
Peer-to-peer payments,3792776,13999676597,1,2020,uttarakhand
Recharge & bill payments,2990764,1028598924,1,2020,uttarakhand
Merchant payments,2289657,1094245197,1,2020,uttarakhand
Financial Services,10246,8180881.809,1,2020,uttarakhand
Others,48341,27378658.63,1,2020,uttarakhand
Recharge & bill payments,3755695,1303523585,2,2020,uttarakhand
Peer-to-peer payments,3656029,13572964170,2,2020,uttarakhand
Merchant payments,1587042,1181497493,2,2020,uttarakhand
Financial Services,15023,17612288.06,2,2020,uttarakhand
Others,33981,18590166.38,2,2020,uttarakhand
Peer-to-peer payments,4836512,18377468807,3,2020,uttarakhand
Recharge & bill payments,3751993,1509373288,3,2020,uttarakhand
Merchant payments,3164623,2166776520,3,2020,uttarakhand
Financial Services,20455,26449980.58,3,2020,uttarakhand
Others,45352,23442372.42,3,2020,uttarakhand
Peer-to-peer payments,6748183,25748737002,4,2020,uttarakhand
Merchant payments,6629201,4274032857,4,2020,uttarakhand
Recharge & bill payments,4140391,1697819951,4,2020,uttarakhand
Financial Services,27120,29791064.76,4,2020,uttarakhand
Others,68376,42358455.01,4,2020,uttarakhand
Merchant payments,8393767,5283142247,1,2021,uttarakhand
Peer-to-peer payments,7981710,29202365443,1,2021,uttarakhand
Recharge & bill payments,4146569,1727960484,1,2021,uttarakhand
Financial Services,30208,38400864,1,2021,uttarakhand
Others,56148,36320362.17,1,2021,uttarakhand
Peer-to-peer payments,9374939,32674145244,2,2021,uttarakhand
Merchant payments,9134389,6257528832,2,2021,uttarakhand
Recharge & bill payments,5388285,1979824049,2,2021,uttarakhand
Financial Services,31497,35404991.87,2,2021,uttarakhand
Others,71322,43914757.7,2,2021,uttarakhand
Merchant payments,13673085,9001414756,3,2021,uttarakhand
Peer-to-peer payments,11867174,39256650720,3,2021,uttarakhand
Recharge & bill payments,5388011,2182554095,3,2021,uttarakhand
Financial Services,27839,38013969.98,3,2021,uttarakhand
Others,86175,48863242.23,3,2021,uttarakhand
Merchant payments,19850878,13515464698,4,2021,uttarakhand
Peer-to-peer payments,14819203,49969580473,4,2021,uttarakhand
Recharge & bill payments,5536262,2540546090,4,2021,uttarakhand
Financial Services,38764,51212042.38,4,2021,uttarakhand
Others,116173,71304856.18,4,2021,uttarakhand
Merchant payments,22595602,14585438346,1,2022,uttarakhand
Peer-to-peer payments,16201632,53535521439,1,2022,uttarakhand
Recharge & bill payments,5617605,2745987928,1,2022,uttarakhand
Financial Services,39033,49695999.72,1,2022,uttarakhand
Others,106900,62138787.24,1,2022,uttarakhand
Merchant payments,32087670,19479185362,2,2022,uttarakhand
